FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,Glp Cilindro 25Lbs.,
1-ene-22,7.71912,28.69,27.91,24.51,17.28,122,4.88
2-ene-22,7.71912,28.69,27.91,24.51,17.28,122,4.88
3-ene-22,7.71912,28.79,27.99,24.6,17.91,122,4.88
4-ene-22,7.71745,28.79,27.99,24.6,17.91,122,4.88
5-ene-22,7.71558,28.79,27.99,24.6,17.91,122,4.88
6-ene-22,7.71823,28.79,27.99,24.6,17.91,122,4.88
7-ene-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
8-ene-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
9-ene-22,7.71343,28.79,27.99,24.6,17.91,122,4.88
10-ene-22,7.71101,29.65,28.85,25.46,18.55,122,4.88
11-ene-22,7.70832,29.65,28.85,25.46,18.55,122,4.88
12-ene-22,7.70898,29.65,28.85,25.46,18.55,122,4.88
13-ene-22,7.7062,29.65,28.85,25.46,18.55,122,4.88
14-ene-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
15-ene-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
16-ene-22,7.70777,29.65,28.85,25.46,18.55,122,4.88
17-ene-22,7.70046,30.49,29.69,26.49,18.97,122,4.88
18-ene-22,7.70453,30.49,29.69,26.49,18.97,122,4.88
19-ene-22,7.69958,30.49,29.69,26.49,18.97,122,4.88
20-ene-22,7.69537,30.49,29.69,26.49,18.97,122,4.88
21-ene-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
22-ene-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
23-ene-22,7.69195,30.49,29.69,26.49,18.97,122,4.88
24-ene-22,7.68855,31.49,30.69,27.49,19.55,122,4.88
25-ene-22,7.68581,31.49,30.69,27.49,19.55,122,4.88
26-ene-22,7.68541,31.49,30.69,27.49,19.55,122,4.88
27-ene-22,7.68649,31.49,30.69,27.49,19.55,122,4.88
28-ene-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
29-ene-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
30-ene-22,7.68995,31.49,30.69,27.49,19.55,122,4.88
31-ene-22,7.68981,31.5,30.69,27.98,19.85,122,4.88
1-feb-22,7.68555,31.5,30.69,27.98,19.85,122,4.88
2-feb-22,7.69221,31.5,30.69,27.98,19.85,122,4.88
3-feb-22,7.69189,31.5,30.69,27.98,19.85,122,4.88
4-feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
5-feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
6-feb-22,7.69495,31.5,30.69,27.98,19.85,122,4.88
7-feb-22,7.69122,32.19,32.39,28.58,20.3,122,4.88
8-feb-22,7.6886,32.19,32.39,28.58,20.3,122,4.88
9-feb-22,7.69229,32.19,32.39,28.58,20.3,122,4.88
10-feb-22,7.69531,32.19,32.39,28.58,20.3,122,4.88
11-feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
12-feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
13-feb-22,7.69226,32.19,32.39,28.58,20.3,122,4.88
14-feb-22,7.69255,32.22,31.42,28.61,20.35,122,4.88
15-feb-22,7.68841,32.22,31.42,28.61,20.35,122,4.88
16-feb-22,7.69562,32.22,31.42,28.61,20.35,122,4.88
17-feb-22,7.69349,32.22,31.42,28.61,20.35,122,4.88
18-feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
19-feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
20-feb-22,7.70039,32.22,31.42,28.61,20.35,122,4.88
21-feb-22,7.69849,33.5,32.7,29.88,20.35,122,4.88
22-feb-22,7.70788,33.5,32.7,29.88,20.35,122,4.88
23-feb-22,7.70468,33.5,32.7,29.88,20.35,122,4.88
24-feb-22,7.71285,33.5,32.7,29.88,20.35,122,4.88
25-feb-22,7.7169,33.5,32.7,29.88,20.35,122,4.88
26-feb-22,7.7169,33.5,32.7,29.88,20.35,122,4.88
27-feb-22,7.7169,33.5,32.7,29.88,20.35,122,4.88
28-feb-22,7.71322,33.88,33.29,30.09,20,122,4.88
1-mar-22,7.7044,33.88,33.29,30.09,20,142,5.68
2-mar-22,7.70543,33.88,33.29,30.09,20,142,5.68
3-mar-22,7.71199,35.99,35.39,33.09,20,142,5.68
4-mar-22,7.71002,35.99,35.39,33.09,20,142,5.68
5-mar-22,7.71002,35.99,35.39,33.09,20,142,5.68
6-mar-22,7.71002,35.99,35.39,33.09,20,142,5.68
7-mar-22,7.70431,37.98,37.39,36.09,21.9,142,5.68
8-mar-22,7.69932,37.98,37.39,36.09,21.9,142,5.68
9-mar-22,7.7011,39.99,39.42,40.25,21.9,147,5.88
10-mar-22,7.70164,39.99,39.42,40.25,21.9,147,5.88
11-mar-22,7.70105,39.99,39.42,40.25,21.9,147,5.88
12-mar-22,7.70105,39.99,39.42,40.25,21.9,147,5.88
13-mar-22,7.70105,37.98,37.39,35.48,21.9,147,5.88
